,EmployeeID,Name,Age,Gender,Department,JobTitle,City,Education,YearsOfExperience,Salary,Bonus,PerformanceScore,PerformanceRating,JoiningDate,Email,Phone
99,EMP14545,Isabella Robinson,41.0,Other,Hr,Business Analyst,Ottawa,BSc,5.0,543281,422373.0,5.6,Good,2023-03-07,isabella.robinson1910@outlook.com,6300055695
100,EMP12467,Pedro Zhang,59.0,Other,Engineering,Software Engineer,Bangalore,BE,10.0,640628,471857.0,3.7,Excellent,2014-11-13,pedro.zhang8760@yahoo.com,6816745325
101,EMP13823,Amanda Li,42.0,Female,Admin,Cloud Architect,Hong Kong,llb,5.0,984165,469022.0,9.7,Average,2020-04-16,amanda.li5856@company.org,2092544546
102,EMP11831,Kiran Zhang,30.0,Other,Human Resources,Business Analyst,Glasgow,BBA,14.0,830905,362366.0,1.4,Poor,2012-04-27,kiran.zhang8436@hotmail.com,5090018309
103,EMP14053,Karim Miller,51.0,Male,Quality,Software Engineer,Manama,bba,34.0,494146,296229.0,9.3,Bad,2021-03-18,karim.miller3846@yahoo.com,7885077996
104,EMP13316,Zara Hussain,22.0,Male,Engineering,Procurement Manager,Seoul,bba,5.0,104903,110098.0,2.9,Good,2018-04-06,zara.hussain659@yahoo.com,7602735412
105,EMP11076,Rania Liu,59.0,Female,Customer Support,Network Engineer,Perth,BE,15.0,672452,497626.0,2.3,Good,2009-04-20,rania.liu7293@yahoo.com,1872854103
106,EMP13378,Nadia Sheikh,21.0,Other,It,Project Manager,Hyderabad,mba,25.0,130631,153392.0,2.2,Good,2018-07-06,nadia.sheikh369@yahoo.com,1997582862
107,EMP13054,Amir Hernandez,50.0,Other,Legal,Sales Executive,Houston,M.Tech,6.0,322690,69513.0,9.0,Good,2017-03-19,amir.hernandez4214@gmail.com,6905440497
108,EMP11359,Anjali Baig,56.0,Male,Marketing,Product Manager,Montreal,diploma,10.0,355370,391832.0,7.9,Excellent,2010-06-08,anjali.baig5811@outlook.com,0394274582
109,EMP12785,Xiao Brown,33.0,Male,Operations,Product Manager,Singapore,mba,15.0,270007,49387.0,3.6,Good,2016-02-20,xiao.brown3037@yahoo.com,2936127379
110,EMP14404,Isabella Pillai,27.0,Male,Admin,Logistics Coordinator,Dallas,MBBS,23.0,675281,403498.0,4.5,Bad,2022-08-13,isabella.pillai2286@hotmail.com,9746657799
111,EMP12398,Ting Menon,30.0,Male,Finance,Team Lead,Sharjah,Diploma,28.0,88910,468557.0,3.5,Good,2014-08-04,ting.menon8437@gmail.com,7050007597
112,EMP13035,Jessica Farooq,46.0,Male,Customer Support,Ux Designer,Pune,post graduate,9.0,439120,293639.0,1.6,Good,2017-02-19,jessica.farooq7364@yahoo.com,8050138202
113,EMP13097,Yusuf Smith,48.0,Other,R&D,Logistics Coordinator,Melbourne,Diploma,0.0,492690,264763.0,8.2,Poor,2017-05-21,yusuf.smith9673@company.org,0840143160
114,EMP14581,Isabella Banerjee,44.0,Female,Admin,Devops Engineer,Bangkok,M.Com,16.0,759705,407246.0,1.2,Good,2023-04-28,isabella.banerjee906@yahoo.com,9669546031
115,EMP13095,Valentina Gonzalez,45.0,Male,Procurement,Project Manager,Muscat,PHD,32.0,998106,430500.0,1.6,Good,2017-05-18,valentina.gonzalez266@gmail.com,2527865223
116,EMP12140,Lakshmi Alvi,46.0,Female,Engineering,Legal Counsel,Austin,mba,23.0,295748,103851.0,5.9,Poor,2013-07-23,lakshmi.alvi3847@hotmail.com,5926425929
117,EMP14908,Pedro Huang,23.0,Male,Quality,Database Admin,Delhi,b.com,16.0,668231,207854.0,4.4,Good,2024-08-18,pedro.huang8835@hotmail.com,7592426264
118,EMP11745,Sara Das,34.0,Male,Procurement,Marketing Specialist,Jakarta,BBA,9.0,959776,27901.0,999.0,excellent,2011-12-24,sara.das8886@yahoo.com,2763590543
119,EMP13648,Ethan Zhang,26.0,Male,R&D,Procurement Manager,Jakarta,B.Arch,10.0,40233,276721.0,6.3,excellent,2019-08-04,ethan.zhang4031@outlook.com,0600047168
120,EMP11695,Amir Martinez,56.0,Male,Admin,Ux Designer,Jeddah,Post Graduate,16.0,415607,60199.0,8.6,Average,2011-10-12,amir.martinez432@outlook.com,3741741032
121,EMP12898,James Bukhari,28.0,Female,Sales,Intern,Hyderabad,bba,6.0,636644,175767.0,8.4,Average,2016-08-03,james.bukhari8484@hotmail.com,5918680166
122,EMP10298,Zara Menon,41.0,Male,Engineering,Data Analyst,Sharjah,LLB,35.0,392944,102572.0,9.5,Good,2006-03-10,zara.menon5915@gmail.com,3975121039
123,EMP14042,Sara White,31.0,Female,Legal,Team Lead,Sharjah,BSc,30.0,869368,12000.0,2.9,Poor,2021-03-02,sara.white1927@yahoo.com,7696523598
124,EMP11904,Ashley Hassan,57.0,Female,Human Resources,Intern,Phoenix,MBA,1.0,914737,274463.0,8.7,Average,2012-08-12,ashley.hassan2273@outlook.com,7843798324
125,EMP10998,Omar Chatterjee,51.0,Female,Engineering,Business Analyst,San Antonio,llb,6.0,189812,56711.0,4.4,Good,2008-12-27,omar.chatterjee5549@company.org,3217075274
126,EMP14549,Deepak Khan,44.0,Other,Hr,Devops Engineer,Houston,B.Tech,36.0,662392,21668.0,1.4,Average,2023-03-13,deepak.khan7993@gmail.com,3676123731
127,EMP13466,Xiao Hernandez,21.0,Other,Customer Support,Database Admin,Glasgow,MCA,23.0,138076,127045.0,5.7,Average,2018-11-11,xiao.hernandez9159@gmail.com,8198616451
128,EMP14259,Maria Hassan,52.0,Male,Marketing,Software Engineer,Leeds,Post Graduate,21.0,478739,470042.0,1.9,Good,2022-01-13,maria.hassan4765@yahoo.com,3653938952
129,EMP11593,Michael Khan,59.0,Female,R&D,Project Manager,Edinburgh,B.Arch,22.0,682224,184552.0,2.1,Average,2011-05-16,michael.khan1794@hotmail.com,1344451505
130,EMP13529,Zhang Martin,47.0,Female,Customer Support,Database Admin,Dallas,BTECH,30.0,496893,268620.0,9.5,Poor,2019-02-11,zhang.martin3699@company.org,2301903423
131,EMP13110,Zhang Robinson,28.0,Female,Logistics,Data Analyst,Kolkata,diploma,25.0,233953,371170.0,4.7,Good,2017-06-09,zhang.robinson6713@company.org,0907392860
132,EMP13240,Ting Verma,34.0,Other,Logistics,Hr Manager,Kuala Lumpur,post graduate,11.0,895400,49313.0,4.5,Poor,2017-12-16,ting.verma3390@company.org,1926314562
133,EMP14269,Ana Chaudhry,31.0,Male,Marketing,Business Analyst,Bangkok,MCA,2.0,34726,233278.0,6.5,Good,2022-01-27,ana.chaudhry8778@yahoo.com,0000000000
134,EMP14096,Liam White,34.0,Female,Logistics,Devops Engineer,Birmingham,Post Graduate,19.0,225634,21936.0,5.4,Good,2021-05-20,liam.white334@gmail.com,7005308769
135,EMP11967,Emma Rodriguez,52.0,Other,Marketing,Software Engineer,Hong Kong,M.Tech,8.0,113948,412974.0,5.3,Poor,2012-11-12,emma.rodriguez4584@hotmail.com,7291466728
136,EMP13377,Sophia Thomas,24.0,Other,Logistics,Business Analyst,Jaipur,BTECH,24.0,630856,317838.0,2.2,Good,2018-07-04,sophia.thomas7592@gmail.com,9431869376
137,EMP12153,Bilal Baig,53.0,Male,Admin,Procurement Manager,Toronto,post graduate,21.0,194329,438262.0,9.1,excellent,2013-08-11,bilal.baig4866@company.org,9606820804
138,EMP11850,Ting Siddiqui,48.0,Female,Legal,Sales Executive,Hyderabad,DIPLOMA,22.0,870209,113201.0,6.0,Poor,2012-05-25,ting.siddiqui8942@outlook.com,6319019582
139,EMP14724,Zhang Gonzalez,34.0,Male,Admin,Sales Executive,Dammam,B.E,31.0,791470,304539.0,8.2,Average,2023-11-23,zhang.gonzalez8526@gmail.com,8618957698
140,EMP10172,Rahul Wu,21.0,Female,Engineering,Marketing Specialist,Manama,MBA,30.0,906844,310220.0,10.0,Excellent,2005-09-07,rahul.wu783@yahoo.com,9315498385
141,EMP12073,Ravi Yang,22.0,Male,Sales,Sales Executive,Seoul,DIPLOMA,2.0,627899,308119.0,3.6,Good,2013-04-16,ravi.yang6159@hotmail.com,5415143386
142,EMP12006,Dina Jackson,36.0,Female,Hr,Database Admin,Phoenix,M.Sc,6.0,166012,199764.0,1.8,Poor,2013-01-08,dina.jackson9928@company.org,8935551177
143,EMP11394,Yang Verma,32.0,Other,Logistics,Software Engineer,Hyderabad,BE,30.0,175673,377482.0,1.8,Good,2010-07-29,yang.verma7363@hotmail.com,7797710483
144,EMP13239,Dina Hussain,28.0,Male,Operations,Network Engineer,Sheffield,MBA,15.0,825354,498016.0,7.6,Poor,2017-12-15,dina.hussain290@gmail.com,8256690136
145,EMP12306,Fatima Nair,52.0,Male,R&D,Intern,Muscat,BBA,28.0,968509,294060.0,8.9,Poor,2014-03-22,fatima.nair5950@gmail.com,5704186530
146,EMP14620,Sneha Iyer,24.0,Other,R&D,Hr Manager,Jaipur,BTECH,19.0,135957,112447.0,5.1,Bad,2023-06-24,sneha.iyer8902@outlook.com,6434847951
147,EMP12261,Yang Chaudhry,25.0,Female,Admin,Project Manager,Glasgow,M.Com,0.0,61373,185304.0,2.9,Bad,2014-01-16,invalid_email,5698430048
148,EMP13711,Michael Hussain,30.0,Male,Procurement,Devops Engineer,Brisbane,Diploma,10.0,715377,351310.0,1.0,Average,2019-11-04,michael.hussain4043@company.org,9932402476
149,EMP14973,Kavya Mehta,43.0,Male,Logistics,Business Analyst,Perth,MBA,8.0,832328,200611.0,8.6,excellent,2024-11-21,kavya.mehta8106@hotmail.com,5912444450
